ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
7,"(375, 306)","(374, 290)","(390, 290)","(391, 306)",7.348237263188006,-90.07302087856867
7,"(355, 337)","(354, 322)","(370, 320)","(371, 337)",7.387131030426288,-93.55317263464202
4,"(444, 215)","(464, 215)","(464, 236)","(443, 237)",5.374091965145388,-8.309605525217837
7,"(319, 311)","(319, 295)","(336, 295)","(336, 312)",7.310221102183074,-88.21264501601893
7,"(355, 365)","(353, 347)","(370, 346)","(372, 364)",6.531932647560488,-94.10887301374497
7,"(427, 345)","(427, 327)","(444, 326)","(444, 345)",6.233458935305913,-90.6174853186766
7,"(442, 333)","(442, 315)","(459, 314)","(460, 333)",6.224487332142303,-91.31081184198408
7,"(469, 339)","(469, 320)","(487, 320)","(488, 339)",6.012636784961138,-91.77283017296271
7,"(480, 346)","(479, 328)","(497, 326)","(498, 346)",5.986099426629783,-92.87497620882019
7,"(501, 347)","(501, 328)","(520, 328)","(520, 348)",5.800634874634388,-89.06875840058804
7,"(503, 341)","(502, 321)","(520, 320)","(522, 340)",5.665230542715642,-94.17675078619489
7,"(477, 328)","(478, 307)","(497, 308)","(496, 329)",5.436619581146512,-86.87701130282416
7,"(479, 326)","(479, 305)","(499, 305)","(499, 326)",5.44216553890534,-89.71347808890971
7,"(464, 357)","(464, 335)","(485, 335)","(485, 358)",5.075686183660929,-89.26677697462563
7,"(496, 337)","(497, 315)","(518, 316)","(518, 338)",5.157282557784333,-89.05323005528639
7,"(469, 342)","(470, 320)","(492, 321)","(492, 344)",5.016575656169997,-86.6721818622729
7,"(482, 358)","(482, 335)","(505, 336)","(505, 360)",4.759814650142192,-87.91074877816585
7,"(503, 375)","(504, 351)","(527, 352)","(527, 376)",4.7056421107573,-89.71889543892496
7,"(510, 380)","(509, 355)","(533, 355)","(534, 379)",4.600527223083859,-93.01384319685556
7,"(485, 376)","(485, 350)","(510, 350)","(510, 376)",4.376161903127968,-90.01763723712263
7,"(472, 358)","(472, 332)","(498, 332)","(498, 359)",4.295402060604107,-89.19908535906481
7,"(448, 402)","(448, 373)","(475, 373)","(475, 402)",3.961760300226544,-90.21436896550426
7,"(473, 386)","(473, 358)","(501, 358)","(501, 387)",3.9871230606639845,-89.37460945764117
7,"(453, 373)","(454, 344)","(482, 344)","(482, 374)",3.8800025538678113,-89.03214116228341
7,"(452, 383)","(452, 352)","(481, 352)","(480, 384)",3.636649082537573,-89.14394559729504
7,"(436, 390)","(438, 358)","(468, 359)","(466, 392)",3.5338397692569123,-87.01036745815586
7,"(387, 407)","(389, 374)","(420, 375)","(419, 409)",3.4853502912896284,-87.66120042141485
7,"(334, 432)","(335, 398)","(369, 399)","(368, 434)",3.445362535382142,-87.77357747190356
7,"(303, 424)","(303, 388)","(339, 389)","(338, 425)",3.346812381040348,-88.56288737275896
7,"(284, 421)","(285, 384)","(321, 385)","(319, 422)",3.2930723124805,-88.5087997218119
7,"(236, 441)","(237, 402)","(275, 403)","(274, 442)",3.1951639288770837,-88.72810803848377
7,"(213, 444)","(214, 403)","(254, 403)","(254, 445)",3.03456280076141,-89.52570600898464
7,"(201, 459)","(201, 417)","(242, 416)","(243, 459)",2.9851371196166827,-90.92073730311007
7,"(133, 467)","(136, 422)","(179, 423)","(177, 468)",2.9335382226547075,-88.86411727737874
4,"(366, 217)","(451, 217)","(451, 296)","(365, 296)",1.4197119659958317,-1.15777679400464
4,"(294, 199)","(385, 201)","(384, 281)","(292, 281)",1.3971982995526298,-1.1509832747437228
4,"(158, 171)","(260, 174)","(258, 261)","(156, 260)",1.3969167612994098,-1.3908443833543458
4,"(6, 187)","(119, 192)","(114, 284)","(3, 284)",1.4374765806528067,-0.7116684449266028
6,"(401, 244)","(410, 244)","(410, 253)","(401, 253)",13.083526686913935,6.999665388176063e-11
6,"(402, 239)","(411, 239)","(411, 248)","(402, 248)",13.089743564807229,2.643964466372663e-13
6,"(401, 232)","(409, 233)","(409, 242)","(400, 242)",12.482747493028413,-4.839367580474791
6,"(393, 231)","(402, 230)","(403, 240)","(394, 240)",12.573657392235699,-1.9847467148746896
