FrameID,ID,QR 2D,QR 3D: dis,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
274,0,"[(408, 63), (467, 59), (472, 119), (415, 123)]",2.0941084750020873,-4.0538643712579585,-0.49639627862186125,-171.69709180618142
275,0,"[(412, 31), (470, 27), (473, 86), (415, 90)]",2.0859002832852562,-2.792108618905985,2.9158568237779368,-179.55117068611932
288,0,"[(228, 27), (288, 23), (294, 83), (236, 87)]",2.2457212809490583,-4.543067228922496,-1.7204400222174132,-174.5668752943318
289,0,"[(122, 12), (187, 8), (195, 68), (131, 74)]",2.263666386495139,-7.5155151900145825,-7.002006476514129,-178.87616892102568
309,0,"[(681, 56), (746, 55), (745, 118), (681, 117)]",1.849201978348944,0.7722887971231671,2.4788684884679673,174.94788120087466
317,1,"[(615, 84), (640, 88), (637, 114), (611, 112)]",4.494346782467604,1.8004741718880268,-14.978805750666133,-153.95617773167103
318,1,"[(672, 99), (698, 103), (694, 129), (669, 126)]",4.546286272567134,8.649632643617139,2.8608189001896,-153.55482614626814
319,1,"[(702, 120), (727, 122), (724, 149), (698, 146)]",4.511800054860805,8.961531466543533,11.827832088073164,-171.3699522196393
320,1,"[(705, 120), (732, 123), (728, 151), (702, 151)]",4.06312841666107,-2.1158425686616056,-18.050576471511267,-156.96746221139995
321,1,"[(712, 116), (740, 118), (736, 147), (708, 144)]",4.137503984077881,8.58533621323113,11.84094503881643,-176.1523446107779
322,1,"[(737, 115), (765, 116), (762, 145), (735, 143)]",4.276120860021226,6.996475906816471,12.543497439131984,-161.15663300321287
323,1,"[(752, 111), (781, 113), (778, 142), (750, 141)]",4.148184459097254,3.079391368781046,0.4042945587784647,-165.6535233654403
324,1,"[(725, 92), (752, 93), (750, 123), (721, 123)]",4.227174989937494,1.1535571298792604,-2.9600896477769947,-157.12034479086097
325,1,"[(688, 106), (714, 107), (712, 136), (684, 136)]",4.348635409595063,0.697401887751596,-6.178779996515235,-157.61260653319465
326,1,"[(658, 88), (686, 90), (684, 121), (656, 119)]",3.9766425967321593,-1.420480250500816,-16.64617840204071,-163.62382751802372
327,1,"[(657, 92), (686, 94), (683, 124), (654, 123)]",3.9496915580271903,-0.607671627701933,-11.13042246100475,-151.26671893686282
328,1,"[(669, 80), (699, 82), (696, 114), (667, 113)]",3.8074892796203477,-2.218127655521698,-15.033311011918599,-157.8540916323578
329,1,"[(663, 75), (694, 77), (691, 109), (661, 108)]",3.802228983331953,-0.28123584898122544,-8.961741611973018,-154.7682219021476
330,1,"[(643, 73), (674, 76), (671, 109), (640, 107)]",3.700006060525147,0.17373425253592245,-13.005332705846246,-158.2644202865735
