FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
697,0,"(473, 227)","(489, 225)","(490, 241)","(475, 242)",7.5968765068389015,-5.509089160816112
698,0,"(470, 238)","(485, 237)","(487, 252)","(472, 254)",7.475572948356597,-10.327106496545555
699,0,"(481, 247)","(497, 245)","(499, 261)","(483, 262)",7.249935699093397,-6.3128949577097195
700,0,"(488, 237)","(504, 235)","(506, 251)","(490, 252)",7.400053266816479,-7.067928444131091
701,0,"(475, 249)","(491, 248)","(493, 264)","(476, 265)",7.064583271430469,-5.206078280338067
702,0,"(481, 248)","(498, 245)","(500, 262)","(484, 264)",6.885716354570999,-8.488891077028399
703,0,"(478, 264)","(495, 263)","(497, 280)","(480, 281)",6.673468548212982,-3.065572470582538
704,0,"(502, 258)","(520, 256)","(521, 273)","(504, 274)",6.562552354293051,-6.258830479306116
705,0,"(507, 250)","(525, 248)","(527, 266)","(509, 268)",6.30631867586847,-6.340191745898136
706,0,"(510, 247)","(528, 245)","(529, 264)","(511, 265)",6.130529715725023,-3.5773131672592995
707,0,"(511, 249)","(529, 248)","(530, 266)","(512, 268)",6.127114835802156,-8.310042586016191
708,0,"(514, 252)","(533, 251)","(534, 269)","(515, 270)",6.043687780971224,-3.702623735926559
709,0,"(514, 263)","(533, 262)","(534, 280)","(515, 282)",5.961268874177856,-6.572029643019022
710,0,"(488, 240)","(507, 239)","(508, 259)","(489, 260)",5.77570121538003,-1.585344888299741
711,0,"(476, 252)","(495, 250)","(497, 269)","(477, 271)",5.859352273429432,-5.903904559758439
712,0,"(458, 249)","(478, 248)","(479, 268)","(459, 270)",5.5910057367243775,-8.813577293803451
713,0,"(451, 248)","(472, 246)","(473, 267)","(453, 269)",5.461584465457014,-10.324470875336997
714,0,"(451, 240)","(473, 238)","(474, 258)","(453, 261)",5.342680541712765,-10.573260781281164
715,0,"(465, 220)","(487, 218)","(488, 240)","(466, 241)",5.245840966963948,-3.866465812658571
716,0,"(491, 212)","(514, 210)","(515, 234)","(492, 235)",4.884718519701147,-2.6030138077680762
717,0,"(499, 209)","(523, 207)","(524, 231)","(500, 232)",4.775177579728711,-3.406611692749149
718,0,"(501, 231)","(525, 230)","(526, 254)","(502, 255)",4.769967849557849,-2.3859440251390898
719,0,"(495, 224)","(521, 223)","(522, 248)","(496, 250)",4.402180370351952,-6.362297124977755
720,0,"(495, 224)","(521, 223)","(522, 248)","(496, 250)",4.402180370351952,-6.362297124977755
